DR_NO,Date_Rptd,DATE_OCC,AREA_NAME,Crm_Cd,Crm_Cd_Desc,Vict_Age,Vict_Sex,Premis_Desc,Status,Location,LAT,LON
200104150,2020-03-01,2020-02-01,Central,624,BATTERY - SIMPLE ASSAULT,62,M,SIDEWALK,IC,500 S SAN PEDRO ST,34.04,-118.24
200516527,2020-12-11,2020-12-11,Harbor,510,VEHICLE - STOLEN,0,X,DRIVEWAY,IC,1300 S LOS ANGELES ST,33.81,-118.31
200104187,2020-03-01,2020-01-01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),20,F,DEPARTMENT STORE,IC,800 S FIGUEROA ST,34.05,-118.26
211422362,2021-02-12,2020-02-12,Pacific,354,THEFT OF IDENTITY,31,F,SINGLE FAMILY DWELLING,IC,800 N ALAMEDA ST,34.01,-118.45
200104192,2020-03-01,2020-03-01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,SIDEWALK,IC,JESSE ST,34.05,-118.24
200104201,2020-03-01,2020-01-01,Central,330,BURGLARY FROM VEHICLE,51,M,STREET,IC,700 W 7TH ST,34.05,-118.25
200104204,2020-03-01,2020-02-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),23,M,STREET,IC,500 S SAN PEDRO ST,34.04,-118.25
200104205,2020-03-01,2020-03-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),29,M,STREET,IC,700 W 7TH ST,34.05,-118.24
200104208,2020-03-01,2020-03-01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),58,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,100 E 4TH ST,34.04,-118.27
200104209,2020-03-01,2020-03-01,Central,624,BATTERY - SIMPLE ASSAULT,24,M,SIDEWALK,IC,600 S SPRING ST,34.05,-118.26
200104221,2020-03-01,2020-03-01,Central,761,BRANDISH WEAPON,51,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,700 S FLOWER ST,34.04,-118.25
200104222,2020-03-01,2020-03-01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",41,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,800 N ALAMEDA ST,34.05,-118.24
200104223,2020-03-01,2020-03-01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),32,M,"VEHICLE, PASSENGER/TRUCK",IC,600 S SPRING ST,34.05,-118.25
200104224,2020-03-01,2020-03-01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,OTHER STORE,IC,7TH,34.05,-118.26
200104227,2020-04-01,2020-03-01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,OTHER STORE,IC,900 NEW DEPOT ST,34.05,-118.26
200104228,2020-04-01,2020-03-01,Central,210,ROBBERY,28,M,STREET,IC,400 CASANOVA ST,34.04,-118.24
200104230,2020-04-01,2020-03-01,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X,STREET,IC,600 S GRAND AV,34.05,-118.26
200104231,2020-03-01,2020-03-01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,M,STREET,IC,500 S SPRING ST,34.04,-118.24
200104233,2020-03-01,2020-03-01,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",57,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,600 WALL ST,34.05,-118.25
200104234,2020-04-01,2020-03-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),27,F,RESTAURANT/FAST FOOD,IC,900 N BROADWAY,34.05,-118.24
200104235,2020-04-01,2020-03-01,Central,330,BURGLARY FROM VEHICLE,30,F,STREET,IC,5TH ST,34.04,-118.23
200104236,2020-03-01,2020-03-01,Central,330,BURGLARY FROM VEHICLE,30,M,STREET,IC,700 S OLIVE ST,34.05,-118.26
200104237,2020-04-01,2020-04-01,Central,330,BURGLARY FROM VEHICLE,31,M,STREET,IC,100 N LOS ANGELES ST,34.04,-118.26
200104238,2020-03-01,2020-03-01,Central,330,BURGLARY FROM VEHICLE,0,X,PARKING LOT,IC,6TH ST,34.04,-118.26
200409682,2020-10-06,2020-10-06,Hollenbeck,210,ROBBERY,24,F,SINGLE FAMILY DWELLING,AA,900 S LOS ANGELES ST,34.08,-118.22
200104244,2020-04-01,2020-04-01,Central,624,BATTERY - SIMPLE ASSAULT,48,F,SIDEWALK,IC,800 N ALAMEDA ST,34.04,-118.25
200306227,2020-07-02,2020-06-02,Southwest,510,VEHICLE - STOLEN,0,X,STREET,IC,800 N ALAMEDA ST,34.01,-118.3
200104268,2020-04-01,2020-04-01,Central,624,BATTERY - SIMPLE ASSAULT,40,F,STREET,IC,800 N ALAMEDA ST,34.06,-118.24
200104269,2020-04-01,2020-04-01,Central,624,BATTERY - SIMPLE ASSAULT,57,F,SIDEWALK,IC,200 N SOTO ST,34.04,-118.25
200104270,2020-04-01,2020-04-01,Central,330,BURGLARY FROM VEHICLE,32,M,PARKING LOT,IC,HILL,34.04,-118.26
200816200,2020-08-11,2020-07-11,West LA,886,DISTURBING THE PEACE,58,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,700 S BROADWAY,34.06,-118.38
200104275,2020-04-01,2020-04-01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,MARKET,IC,1800 S MAIN ST,34.05,-118.26
200104276,2020-04-01,2020-02-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),18,M,LA UNION STATION (NOT LINE SPECIFIC),IC,700 S FIGUEROA ST,34.06,-118.24
200104277,2020-05-01,2020-04-01,Central,330,BURGLARY FROM VEHICLE,25,M,STREET,IC,SPRING ST,34.04,-118.23
200104279,2020-04-01,2020-04-01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,DEPARTMENT STORE,IC,6TH ST,34.05,-118.26
200104281,2020-04-01,2020-04-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),37,F,MISSIONS/SHELTERS,IC,2200 SAN YSIDRO DR,34.04,-118.25
200104283,2020-04-01,2020-04-01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,DEPARTMENT STORE,IC,600 N BROADWAY,34.05,-118.26
200104284,2020-04-01,2020-04-01,Central,888,TRESPASSING,67,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,8TH,34.05,-118.25
200104285,2020-05-01,2020-05-01,Central,624,BATTERY - SIMPLE ASSAULT,26,M,OTHER BUSINESS,IC,800 N ALAMEDA ST,34.05,-118.25
200104286,2020-04-01,2020-04-01,Central,330,BURGLARY FROM VEHICLE,47,M,GARAGE/CARPORT,IC,2000 E 7TH ST,34.05,-118.26
200104287,2020-04-01,2020-04-01,Central,624,BATTERY - SIMPLE ASSAULT,21,F,LA UNION STATION (NOT LINE SPECIFIC),IC,700 S FLOWER ST,34.06,-118.24
200104289,2020-05-01,2020-03-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),26,F,NIGHT CLUB (OPEN EVENINGS ONLY),IC,4TH,34.05,-118.25
200104291,2020-05-01,2020-04-01,Central,210,ROBBERY,64,M,SIDEWALK,IC,W 5TH ST,34.04,-118.25
200104292,2020-05-01,2020-04-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),26,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,800 S HILL ST,34.07,-118.25
200104293,2020-05-01,2020-03-01,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),31,F,PARKING UNDERGROUND/BUILDING,IC,6TH,34.07,-118.23
200104300,2020-05-01,2020-04-01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",39,M,"VEHICLE, PASSENGER/TRUCK",IC,7TH,34.05,-118.26
200104302,2020-01-01,2020-01-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),25,F,BAR/COCKTAIL/NIGHTCLUB,IC,100 S FIGUEROA ST,34.05,-118.25
200104303,2020-05-01,2020-04-01,Central,510,VEHICLE - STOLEN,0,X,PARKING LOT,IC,600 S FIGUEROA ST,34.04,-118.25
200104310,2020-05-01,2020-05-01,Central,624,BATTERY - SIMPLE ASSAULT,28,M,SIDEWALK,IC,100 E 17TH ST,34.06,-118.24
200104313,2020-05-01,2020-04-01,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",75,M,SIDEWALK,IC,6100 DELPHI ST,34.04,-118.25
200104316,2020-05-01,2020-04-01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,32,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,400 S BROADWAY,34.05,-118.26
200104319,2020-04-01,2020-04-01,Central,623,BATTERY POLICE (SIMPLE),0,X,DETENTION/JAIL FACILITY,IC,700 S FIGUEROA ST,34.05,-118.24
200104320,2020-05-01,2020-04-01,Central,330,BURGLARY FROM VEHICLE,0,M,STREET,IC,8TH,34.04,-118.25
200104321,2020-06-01,2020-05-01,Central,330,BURGLARY FROM VEHICLE,30,F,STREET,IC,14TH,34.04,-118.25
200104323,2020-05-01,2020-03-01,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),28,M,STREET,IC,7TH ST,34.04,-118.25
200104326,2020-05-01,2020-05-01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",56,M,STREET,AA,300 S BROADWAY,34.04,-118.27
200104327,2020-05-01,2020-05-01,Central,210,ROBBERY,0,X,LA UNION STATION (NOT LINE SPECIFIC),AA,300 S BROADWAY,34.06,-118.24
200104328,2020-05-01,2020-05-01,Central,350,"THEFT, PERSON",35,F,SIDEWALK,IC,4TH ST,34.05,-118.25
200104329,2020-05-01,2020-05-01,Central,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,28,F,SIDEWALK,IC,12TH,34.05,-118.25
200104330,2020-06-01,2020-05-01,Central,888,TRESPASSING,19,M,LA UNION STATION (NOT LINE SPECIFIC),IC,8TH ST,34.06,-118.24
200104331,2020-05-01,2020-05-01,Central,624,BATTERY - SIMPLE ASSAULT,43,F,OTHER PREMISE,IC,11TH ST,34.04,-118.24
200104333,2020-06-01,2020-06-01,Central,888,TRESPASSING,0,X,LA UNION STATION (NOT LINE SPECIFIC),IC,300 E 5TH ST,34.06,-118.24
200405489,2020-07-02,2020-06-02,Hollenbeck,946,OTHER MISCELLANEOUS CRIME,12,F,SINGLE FAMILY DWELLING,AO,6TH,34.04,-118.21
200104336,2020-06-01,2020-05-01,Central,647,THROWING OBJECT AT MOVING VEHICLE,43,M,STREET,IC,1ST ST,34.04,-118.26
200104337,2020-06-01,2020-06-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),59,M,SIDEWALK,IC,200 W WASHINGTON BL,34.05,-118.25
200104339,2020-05-01,2020-05-01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34,F,"VEHICLE, PASSENGER/TRUCK",IC,800 JAMES M WOOD BL,34.04,-118.26
200104340,2020-06-01,2020-05-01,Central,310,BURGLARY,38,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,400 W 7TH ST,34.03,-118.26
200104351,2020-01-01,2020-01-01,Central,330,BURGLARY FROM VEHICLE,37,M,PARKING LOT,IC,1100 S FIGUEROA ST,34.05,-118.26
200104352,2020-06-01,2020-05-01,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X,STREET,IC,900 W 8TH ST,34.05,-118.25
200104360,2020-06-01,2020-06-01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",61,X,SIDEWALK,AA,700 S FLOWER ST,34.05,-118.25
210804296,2020-08-01,2020-04-01,West LA,940,EXTORTION,49,M,SINGLE FAMILY DWELLING,AO,400 SEATON ST,34.11,-118.42
200104369,2020-06-01,2020-06-01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,M,STREET,IC,1000 N BROADWAY,34.05,-118.24
200104372,2020-06-01,2020-06-01,Central,330,BURGLARY FROM VEHICLE,43,F,PARKING UNDERGROUND/BUILDING,IC,1300 MAGDALENA ST,34.06,-118.24
200104377,2020-06-01,2020-05-01,Central,624,BATTERY - SIMPLE ASSAULT,71,M,STREET,IC,00 GATEWAY PLAZA DR,34.04,-118.25
200104379,2020-06-01,2020-06-01,Central,624,BATTERY - SIMPLE ASSAULT,71,M,LA UNION STATION (NOT LINE SPECIFIC),IC,600 WILSHIRE BL,34.06,-118.24
200104381,2020-06-01,2020-06-01,Central,510,VEHICLE - STOLEN,0,X,PARKING LOT,IC,1ST,34.04,-118.23
200104382,2020-06-01,2020-06-01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),55,M,CLOTHING STORE,IC,500 N FIGUEROA ST,34.05,-118.26
200104385,2020-06-01,2020-06-01,Central,330,BURGLARY FROM VEHICLE,19,F,STREET,IC,5TH ST,34.04,-118.24
200104389,2020-02-01,2020-01-01,Central,330,BURGLARY FROM VEHICLE,68,F,STREET,IC,GEORGIA ST,34.05,-118.25
200104390,2020-03-01,2020-03-01,Central,354,THEFT OF IDENTITY,38,F,BANK,IC,1100 S FIGUEROA ST,34.05,-118.26
200104392,2020-06-01,2020-03-01,Central,480,BIKE - STOLEN,48,M,MTA BUS,IC,700 W 7TH ST,34.05,-118.25
200104393,2020-06-01,2020-06-01,Central,624,BATTERY - SIMPLE ASSAULT,69,F,SIDEWALK,IC,ALPINE ST,34.04,-118.25
200104406,2020-06-01,2020-04-01,Central,330,BURGLARY FROM VEHICLE,50,F,PARKING LOT,IC,100 E 5TH ST,34.06,-118.25
200104408,2020-06-01,2020-06-01,Central,624,BATTERY - SIMPLE ASSAULT,13,M,MTA - BLUE LINE - 7TH AND METRO CENTER,IC,300 E 5TH ST,34.05,-118.26
200104410,2020-06-01,2020-06-01,Central,662,"BUNCO, GRAND THEFT",61,M,OTHER BUSINESS,IC,500 WALL ST,34.03,-118.26
200104411,2020-07-01,2020-06-01,Central,510,VEHICLE - STOLEN,0,X,STREET,IC,PICO BL,34.04,-118.26
201106871,2020-04-03,2020-02-03,Northeast,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),50,M,STREET,IC,1100 S HOPE ST,34.12,-118.19
200104414,2020-06-01,2020-05-01,Central,330,BURGLARY FROM VEHICLE,26,M,PARKING LOT,IC,400 S HEWITT ST,34.05,-118.26
200104416,2020-06-01,2020-06-01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,26,F,DRUG STORE,IC,4TH ST,34.05,-118.25
200104419,2020-06-01,2020-06-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),45,M,DEPARTMENT STORE,IC,600 S SAN PEDRO ST,34.05,-118.26
200104420,2020-05-01,2020-05-01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),36,F,"VEHICLE, PASSENGER/TRUCK",IC,1400 S FIGUEROA ST,34.05,-118.26
200104422,2020-06-01,2020-06-01,Central,330,BURGLARY FROM VEHICLE,24,M,STREET,IC,300 E 5TH ST,34.04,-118.27
200104429,2020-07-01,2020-06-01,Central,888,TRESPASSING,0,M,OTHER BUSINESS,IC,700 S FIGUEROA ST,34.06,-118.24
200104430,2020-02-01,2020-02-01,Central,480,BIKE - STOLEN,50,M,SIDEWALK,IC,VENICE,34.05,-118.26
200104431,2020-02-01,2020-02-01,Central,330,BURGLARY FROM VEHICLE,25,F,PARKING LOT,IC,200 S SAN PEDRO ST,34.05,-118.25
200104432,2020-03-01,2020-02-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),27,M,MARKET,IC,800 N HILL ST,34.05,-118.25
200104435,2020-02-01,2020-02-01,Central,330,BURGLARY FROM VEHICLE,33,M,STREET,IC,700 S LOS ANGELES ST,34.04,-118.24
200104440,2020-04-01,2020-04-01,Central,330,BURGLARY FROM VEHICLE,53,M,PARKING LOT,IC,800 S HILL ST,34.04,-118.27
200104443,2020-04-01,2020-03-01,Central,330,BURGLARY FROM VEHICLE,38,F,STREET,IC,800 N ALAMEDA ST,34.04,-118.25
200104444,2020-05-01,2020-05-01,Central,330,BURGLARY FROM VEHICLE,23,M,PARKING LOT,IC,500 S BROADWAY,34.04,-118.26
200104449,2020-07-01,2020-07-01,Central,624,BATTERY - SIMPLE ASSAULT,74,M,SIDEWALK,IC,600 S FIGUEROA ST,34.05,-118.24
200104450,2020-07-01,2020-07-01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,STREET,IC,400 SAVOY ST,34.04,-118.25
